ಅಂಕ	ಅ ಂ ಕ |
ಅಂಕಗಳನ್ನು	ಅ ಂ ಕ ಗ ಳ ನ ್ ನ ು |
ಅಂಕಲೇಶ್ವರ	ಅ ಂ ಕ ಲ ೇ ಶ ್ ವ ರ |
ಅಂಕೋಲ	ಅ ಂ ಕ ೋ ಲ |
ಅಂಕೋಲಾ	ಅ ಂ ಕ ೋ ಲ ಾ |
ಅಂಗ	ಅ ಂ ಗ |
ಅಂಗಡಿ	ಅ ಂ ಗ ಡ ಿ |
ಅಂಗಣ	ಅ ಂ ಗ ಣ |
ಅಂಗಳ	ಅ ಂ ಗ ಳ |
ಅಂಗಳು	ಅ ಂ ಗ ಳ ು |
ಅಂಗುಲ	ಅ ಂ ಗ ು ಲ |
ಅಂಗೈ	ಅ ಂ ಗ ೈ |
ಅಂಜು	ಅ ಂ ಜ ು |
ಅಂತ	ಅ ಂ ತ |
ಅಂತರ	ಅ ಂ ತ ರ |
ಅಂತರಂಗ	ಅ ಂ ತ ರ ಂ ಗ |
ಅಂತರರಾಷ್ಟ್ರೀಯ	ಅ ಂ ತ ರ ರ ಾ ಷ ್ ಟ ್ ರ ೀ ಯ |
ಅಂತಹ	ಅ ಂ ತ ಹ |
ಅಂತಿಮ	ಅ ಂ ತ ಿ ಮ |
ಅಂತ್ಯ	ಅ ಂ ತ ್ ಯ |
ಅಂಥ	ಅ ಂ ಥ |
ಅಂದ	ಅ ಂ ದ |
ಅಂದರೆ	ಅ ಂ ದ ರ ೆ |
ಅಂದಿನ	ಅ ಂ ದ ಿ ನ |
ಅಂದು	ಅ ಂ ದ ು |
ಅಂದ್ರೆ	ಅ ಂ ದ ್ ರ ೆ |
ಅಂಬರೀಶ್	ಅ ಂ ಬ ರ ೀ ಶ ್ |
ಅಂಬಲಿ	ಅ ಂ ಬ ಲ ಿ |
ಅಂಬಾಲಾ	ಅ ಂ ಬ ಾ ಲ ಾ |
ಅಂಬಿಕಾಪುರ	ಅ ಂ ಬ ಿ ಕ ಾ ಪ ು ರ |
ಅಂಶ	ಅ ಂ ಶ |
ಅಂಶುಮನ್	ಅ ಂ ಶ ು ಮ ನ ್ |
ಅಕಬರಪುರ	ಅ ಕ ಬ ರ ಪ ು ರ |
ಅಕ್ಕಮಹಾದೇವಿ	ಅ ಕ ್ ಕ ಮ ಹ ಾ ದ ೇ ವ ಿ |
ಅಕ್ಕಿ	ಅ ಕ ್ ಕ ಿ |
ಅಕ್ಕಿಯ	ಅ ಕ ್ ಕ ಿ ಯ |
ಅಕ್ಟೋಬರ್	ಅ ಕ ್ ಟ ೋ ಬ ರ ್ |
ಅಕ್ತರ್	ಅ ಕ ್ ತ ರ ್ |
ಅಕ್ರಂ	ಅ ಕ ್ ರ ಂ |
ಅಕ್ರಮ	ಅ ಕ ್ ರ ಮ |
ಅಕ್ಷಯ	ಅ ಕ ್ ಷ ಯ |
ಅಕ್ಷರ	ಅ ಕ ್ ಷ ರ |
ಅಕ್ಷರಗಳ	ಅ ಕ ್ ಷ ರ ಗ ಳ |
ಅಖಿಲ	ಅ ಖ ಿ ಲ |
ಅಖ್ತರ್	ಅ ಖ ್ ತ ರ ್ |
ಅಗತ್ಯ	ಅ ಗ ತ ್ ಯ |
ಅಗರವಾಲ್	ಅ ಗ ರ ವ ಾ ಲ ್ |
ಅಗರ್	ಅ ಗ ರ ್ |
ಅಗರ್ಕರ್	ಅ ಗ ರ ್ ಕ ರ ್ |
ಅಗಲದ	ಅ ಗ ಲ ದ |
ಅಗಲವಾಗಿದೆ	ಅ ಗ ಲ ವ ಾ ಗ ಿ ದ ೆ |
ಅಗಸ	ಅ ಗ ಸ |
ಅಗಾಸ್ಸಿ	ಅ ಗ ಾ ಸ ್ ಸ ಿ |
ಅಗ್ರ	ಅ ಗ ್ ರ |
ಅಚ್ಚರಿ	ಅ ಚ ್ ಚ ರ ಿ |
ಅಜಯ್	ಅ ಜ ಯ ್ |
ಅಜಿತ	ಅ ಜ ಿ ತ |
ಅಜಿಮ್	ಅ ಜ ಿ ಮ ್ |
ಅಜುರುದ್ದಿನ್	ಅ ಜ ು ರ ು ದ ್ ದ ಿ ನ ್ |
ಅಜೇಯ	ಅ ಜ ೇ ಯ |
ಅಜ್ಜ	ಅ ಜ ್ ಜ |
ಅಜ್ಜಿ	ಅ ಜ ್ ಜ ಿ |
ಅಜ್ಜಿಯ	ಅ ಜ ್ ಜ ಿ ಯ |
